"","FIPS","Admin2","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key","Incidence_Rate","Case.Fatality_Ratio"
"1",45001,"Abbeville","South Carolina","US","2020-06-13 03:33:14",34.22333378,-82.46170658,62,0,0,62,"Abbeville, South Carolina, US",252.782647694378,0
"2",22001,"Acadia","Louisiana","US","2020-06-13 03:33:14",30.2950649,-92.41419698,535,31,0,504,"Acadia, Louisiana, US",862.27737932146,5.79439252336449
"3",51001,"Accomack","Virginia","US","2020-06-13 03:33:14",37.76707161,-75.63234615,987,13,0,974,"Accomack, Virginia, US",3054.21463052358,1.31712259371834
"4",16001,"Ada","Idaho","US","2020-06-13 03:33:14",43.4526575,-116.2415516,877,22,0,855,"Ada, Idaho, US",182.106244562249,2.50855188141391
"5",19001,"Adair","Iowa","US","2020-06-13 03:33:14",41.33075609,-94.47105874,11,0,0,11,"Adair, Iowa, US",153.803131991051,0
"6",21001,"Adair","Kentucky","US","2020-06-13 03:33:14",37.10459774,-85.28129668,101,19,0,82,"Adair, Kentucky, US",525.986876367045,18.8118811881188
"7",29001,"Adair","Missouri","US","2020-06-13 03:33:14",40.19058551,-92.60078167,75,0,0,75,"Adair, Missouri, US",295.939707216983,0
"8",40001,"Adair","Oklahoma","US","2020-06-13 03:33:14",35.88494195,-94.65859267,95,4,0,91,"Adair, Oklahoma, US",428.043615391547,4.21052631578947
"9",8001,"Adams","Colorado","US","2020-06-13 03:33:14",39.87432092,-104.3362578,3698,143,0,3555,"Adams, Colorado, US",714.698475709335,3.86695511087074
"10",16003,"Adams","Idaho","US","2020-06-13 03:33:14",44.89333571,-116.4545247,4,0,0,4,"Adams, Idaho, US",93.1532370749884,0
"11",17001,"Adams","Illinois","US","2020-06-13 03:33:14",39.98815591,-91.18786813,45,1,0,44,"Adams, Illinois, US",68.770535646061,2.22222222222222
"12",18001,"Adams","Indiana","US","2020-06-13 03:33:14",40.7457653,-84.93671406,24,1,0,23,"Adams, Indiana, US",67.0822036503899,4.16666666666667
"13",19003,"Adams","Iowa","US","2020-06-13 03:33:14",41.02903567,-94.69932645,7,0,0,7,"Adams, Iowa, US",194.336479733481,0
"14",28001,"Adams","Mississippi","US","2020-06-13 03:33:14",31.47669768,-91.35326037,225,17,0,208,"Adams, Mississippi, US",733.066171439742,7.55555555555556
"15",31001,"Adams","Nebraska","US","2020-06-13 03:33:14",40.5244942,-98.50117804,278,11,0,267,"Adams, Nebraska, US",886.394796416159,3.9568345323741
